County,State,Number_Counties,Population_Size,Population_Density,Poverty,White,Black,Native_American,Asian,Hispanic
Carroll,MO,57,10193,15,12.8,97.1,1.9,0.3,0.1,1
Carter,MO,30,5910,12,19.4,96.9,0.1,1.5,0.2,1.2
Cass,MO,38,94232,135,7.4,94.6,2.8,0.6,0.7,2.9
Cedar,MO,32,14160,30,15.8,97.4,0.3,0.7,0.6,1.5
Chariton,MO,48,8124,11,10.9,96.3,3.2,0.2,0.1,0.7
Christian,MO,31,67266,119,9.3,97.5,0.5,0.5,0.4,1.7
Clark,MO,57,7323,14,12.5,99,0.2,0.3,0.1,0.8
Clay,MO,44,202078,510,6.6,91.9,4,0.5,1.9,4.3
Clinton,MO,42,20715,49,8.6,96.8,1.5,0.3,0.4,1.4
Cole,MO,32,72757,186,9,87.3,10.2,0.4,1.1,1.7
Cooper,MO,48,17294,31,11.2,89.6,8.9,0.4,0.4,1.4
Crawford,MO,57,23932,32,14.5,98.5,0.2,0.4,0.2,1.5
Dade,MO,32,7830,16,13,98.1,0.4,0.6,0.2,1.2
Dallas,MO,57,16437,30,15.3,97.6,0.2,0.8,0.1,1.6
Daviess,MO,57,8121,14,14.2,99.2,0,0.4,0.3,0.9
DeKalb,MO,32,12342,29,13.5,87.8,10.3,0.8,0.4,1.2
Dent,MO,37,15083,20,16,97.4,0.4,0.9,0.3,0.8
Douglas,MO,37,13594,17,17,97.1,0.1,1.1,0.2,1.1
Dunklin,MO,23,32545,60,20.5,89,9.4,0.3,0.3,3.9
Franklin,MO,38,99090,107,8.4,97.8,0.9,0.2,0.3,0.9
Gasconade,MO,47,15745,30,9.7,98.9,0.2,0.1,0.3,0.8
Gentry,MO,32,6555,13,11.3,98.7,0.3,0.4,0.5,0.7
Greene,MO,40,250784,372,12.5,93.9,2.5,0.7,1.3,2.2
Grundy,MO,32,10327,24,14.2,98.4,0.5,0.5,0.2,2.3
Harrison,MO,32,8876,12,13.3,98.9,0.2,0.1,0.2,1.3
Henry,MO,32,22577,32,13.3,97.1,1.1,0.6,0.3,1.2
Hickory,MO,33,9271,23,16.2,98.6,0.1,0.3,0.1,1.1
Holt,MO,32,5081,11,11.8,98.9,0.2,0.5,0.1,0.5
Howard,MO,32,9957,21,11.8,92.6,6.3,0.3,0.1,0.9
Howell,MO,23,38400,41,17.1,96.8,0.4,1,0.3,1.3
Iron,MO,37,10273,19,17.6,97.4,1.7,0.2,0.1,0.6
Jackson,MO,39,662959,1096,12.3,72.6,23.4,0.5,1.5,6.6
Jasper,MO,35,110624,173,14.9,94.1,1.7,1.3,0.9,5
Jefferson,MO,57,213669,325,8,97.3,0.9,0.3,0.6,1.2
Johnson,MO,39,50784,61,11.5,91.7,4.1,0.7,1.9,2.7
Knox,MO,32,4171,8,14.5,99.4,0.1,0,0.1,0.6
Laclede,MO,22,34492,45,14.3,97.2,0.6,0.5,0.4,1.6
Lafayette,MO,22,33108,53,10.2,96.2,2.3,0.2,0.3,1.3
Lawrence,MO,22,37127,61,13.7,97.4,0.4,0.8,0.3,4.6
Lewis,MO,32,10186,20,13.3,96,2.7,0.3,0.4,0.8
Lincoln,MO,37,47727,76,9,96.4,1.9,0.4,0.2,1.5
Linn,MO,32,13133,21,13.4,98.1,0.8,0.4,0.2,0.9
Livingston,MO,32,14291,27,12.6,96.1,2.7,0.4,0.4,1
McDonald,MO,45,22844,42,16.9,93.6,0.3,2.5,0.9,11.8
Macon,MO,32,15600,19,12.1,96.1,2.5,0.4,0.2,0.9
Madison,MO,33,12151,24,15,99,0.2,0.1,0.3,0.9
Maries,MO,32,8989,17,12.2,98.2,0.4,0.6,0.1,1.3
Marion,MO,22,28375,65,12.6,93.2,4.9,0.3,0.4,1.1
Mercer,MO,32,3595,8,12.1,98.9,0.2,0.8,0.1,0.4
Miller,MO,57,24712,42,13.4,98.2,0.3,0.5,0.2,1
Mississippi,MO,38,13599,33,20.5,77.9,20.7,0.4,0.4,1.2
Moniteau,MO,62,15084,36,10.5,95.4,3.4,0.3,0.4,3.1
Monroe,MO,62,9379,15,10,95.3,3.7,0.5,0.1,0.8
Montgomery,MO,57,12166,23,11.9,96.3,2.1,0.1,0.6,0.9
Morgan,MO,32,20436,34,14.8,98,0.5,0.6,0.2,0.9
"New Madrid",MO,34,18566,27,18.7,84.4,14.7,0.1,0.2,0.8
Newton,MO,37,55554,89,12.2,94,0.8,2.1,1.2,2.8
Nodaway,MO,32,21710,25,11.5,96.3,1.8,0.3,1.2,0.8
Oregon,MO,37,10403,13,18.5,95.3,0.1,2.5,0.2,1.2
Osage,MO,39,13485,22,8.4,99.1,0.2,0.1,0.1,0.6
Ozark,MO,37,9490,13,18.1,98.5,0.2,0.5,0,1.1
Pemiscot,MO,38,19412,39,23.1,73.7,25.3,0.2,0.4,1.8
